iso_code,name,state,country,zone
41872,Villavieja,HUI,CO,6
41885,Yaguara,HUI,CO,6
44001,Riohacha,LAG,CO,6
44035,Albania,LAG,CO,6
44078,Barrancas,LAG,CO,6
44090,Dibulla,LAG,CO,6
44098,Distraccion,LAG,CO,6
44110,El Molino,LAG,CO,6
44279,Fonseca,LAG,CO,6
44378,Hatonuevo,LAG,CO,6
44420,La Jagua Del Pilar,LAG,CO,6
44430,Maicao,LAG,CO,6
44560,Manaure,LAG,CO,6
44650,San Juan Del Cesar,LAG,CO,6
44847,Uribia,LAG,CO,6
44855,Urumita,LAG,CO,6
44874,Villanueva,LAG,CO,6
47001,Santa Marta,MAG,CO,6
47030,Algarrobo,MAG,CO,6
47053,Aracataca,MAG,CO,6
47058,Ariguani,MAG,CO,6
47161,Cerro San Antonio,MAG,CO,6
47170,Chibolo,MAG,CO,6
47189,Cienaga,MAG,CO,6
47205,Concordia,MAG,CO,6
47245,El Banco,MAG,CO,6
47258,El Piñon,MAG,CO,6
47268,El Reten,MAG,CO,6
47288,Fundacion,MAG,CO,6
47318,Guamal,MAG,CO,6
47460,Nueva Granada,MAG,CO,6
47541,Pedraza,MAG,CO,6
47545,Pijiño Del Carmen,MAG,CO,6
47551,Pivijay,MAG,CO,6
47555,Plato,MAG,CO,6
47570,Puebloviejo,MAG,CO,6
47605,Remolino,MAG,CO,6
47660,Sabanas De San Angel,MAG,CO,6
47675,Salamina,MAG,CO,6
47692,San Sebastian De Buenavista,MAG,CO,6
47703,San Zenon,MAG,CO,6
47707,Santa Ana,MAG,CO,6
47720,Santa Barbara De Pinto,MAG,CO,6
47745,Sitionuevo,MAG,CO,6
47798,Tenerife,MAG,CO,6
47960,Zapayan,MAG,CO,6
47980,Zona Bananera,MAG,CO,6
50001,Villavicencio,MET,CO,6
50006,Acacias,MET,CO,6
50110,Barranca De Upia,MET,CO,6
50124,Cabuyaro,MET,CO,6
50150,Castilla La Nueva,MET,CO,6
50223,Cubarral,MET,CO,6
50226,Cumaral,MET,CO,6
50245,El Calvario,MET,CO,6
50251,El Castillo,MET,CO,6
50270,El Dorado,MET,CO,6
50287,Fuente De Oro,MET,CO,6
50313,Granada,MET,CO,6
50318,Guamal,MET,CO,6
50325,Mapiripan,MET,CO,6
50330,Mesetas,MET,CO,6
50350,La Macarena,MET,CO,6
50370,Uribe,MET,CO,6
50400,Lejanias,MET,CO,6
50450,Puerto Concordia,MET,CO,6
50568,Puerto Gaitan,MET,CO,6
50573,Puerto Lopez,MET,CO,6
50577,Puerto Lleras,MET,CO,6
50590,Puerto Rico,MET,CO,6
50606,Restrepo,MET,CO,6
50680,San Carlos De Guaroa,MET,CO,6
50683,San Juan De Arama,MET,CO,6
50686,San Juanito,MET,CO,6
50689,San Martin,MET,CO,6
50711,Vistahermosa,MET,CO,6
54001,Cucuta,NSA,CO,6
54003,Abrego,NSA,CO,6
54051,Arboledas,NSA,CO,6
